step,total_agents,count_ACTIVE,count_INACTIVE
0,10,7,3
1,10,7,3
2,10,8,2
3,10,8,2
4,10,8,2
5,10,8,2
6,10,8,2
7,10,8,2
8,10,8,2
9,10,8,2
10,10,8,2
11,10,8,2
12,10,8,2
13,10,8,2
14,10,8,2
15,10,8,2
16,10,8,2
17,10,8,2
18,10,8,2
19,10,8,2
20,10,8,2
21,10,8,2
22,10,8,2
23,10,8,2
24,10,8,2
25,10,8,2
26,10,8,2
27,10,8,2
28,10,8,2
29,10,8,2
30,10,8,2
31,10,8,2
32,10,8,2
33,10,8,2
34,10,8,2
35,10,8,2
36,10,8,2
37,10,8,2
38,10,8,2
39,10,8,2
40,10,8,2
41,10,8,2
42,10,8,2
43,10,8,2
44,10,8,2
45,10,8,2
46,10,8,2
47,10,8,2
48,10,8,2
49,10,8,2
