Step,AgentID,Wealth,Steps_not_given,Tech_Adoption
1,1,10,0,0
1,2,10,0,0
1,3,10,0,0
1,4,10,0,0
1,5,10,0,0
1,6,10,0,0
1,7,10,0,0
1,8,10,0,0
1,9,10,0,0
1,10,10,0,0
1,11,10,0,0
1,12,10,0,0
1,13,10,0,0
1,14,10,0,0
1,15,10,0,0
1,16,10,0,0
1,17,10,0,0
1,18,10,0,0
1,19,10,0,0
1,20,10,0,0
1,21,10,0,0
1,22,10,0,0
1,23,10,0,0
1,24,10,0,0
1,25,10,0,0
1,26,10,0,0
1,27,10,0,0
1,28,10,0,0
1,29,10,0,0
1,30,10,0,0
1,31,10,0,0
1,32,10,0,0
1,33,10,0,0
1,34,10,0,0
1,35,10,0,0
1,36,10,0,0
1,37,10,0,0
1,38,10,0,0
1,39,10,0,0
1,40,10,0,0
1,41,10,0,0
1,42,10,0,0
1,43,10,0,0
1,44,10,0,0
1,45,10,0,0
1,46,10,0,0
1,47,10,0,0
1,48,10,0,0
1,49,10,0,0
1,50,10,0,0
1,51,10,0,0
1,52,10,0,0
1,53,10,0,0
1,54,10,0,0
1,55,10,0,0
1,56,10,0,0
1,57,10,0,0
1,58,10,0,0
1,59,10,0,0
1,60,10,0,0
1,61,10,0,0
1,62,10,0,0
1,63,10,0,0
1,64,10,0,0
1,65,10,0,0
1,66,10,0,0
1,67,10,0,0
1,68,10,0,0
1,69,10,0,0
1,70,10,0,0
1,71,10,0,0
1,72,10,0,0
1,73,10,0,0
1,74,10,0,0
1,75,10,0,0
1,76,10,0,0
1,77,10,0,0
1,78,10,0,0
1,79,10,0,0
1,80,10,0,0
1,81,10,0,0
1,82,10,0,0
1,83,10,0,0
1,84,10,0,0
1,85,10,0,0
1,86,10,0,0
1,87,10,0,0
1,88,10,0,0
1,89,10,0,0
1,90,10,0,0
1,91,10,0,0
1,92,10,0,0
1,93,10,0,0
1,94,10,0,0
1,95,10,0,0
1,96,10,0,0
1,97,10,0,0
1,98,10,0,0
1,99,10,0,0
1,100,10,0,0
1,101,10,0,0
1,102,10,0,0
1,103,10,0,0
1,104,10,0,0
1,105,10,0,0
1,106,10,0,0
1,107,10,0,0
1,108,10,0,0
1,109,10,0,0
1,110,10,0,0
1,111,10,0,0
1,112,10,0,0
1,113,10,0,0
1,114,10,0,0
1,115,10,0,0
1,116,10,0,0
1,117,10,0,0
1,118,10,0,0
1,119,10,0,0
1,120,10,0,0
1,121,10,0,0
1,122,10,0,0
1,123,10,0,0
1,124,10,0,0
1,125,10,0,0
1,126,10,0,0
1,127,10,0,0
1,128,10,0,0
1,129,10,0,0
1,130,10,0,0
1,131,10,0,0
1,132,10,0,0
1,133,10,0,0
1,134,10,0,0
1,135,10,0,0
1,136,10,0,0
1,137,10,0,0
1,138,10,0,0
1,139,10,0,0
1,140,10,0,0
1,141,10,0,0
1,142,10,0,0
1,143,10,0,0
1,144,10,0,0
1,145,10,0,0
1,146,10,0,0
1,147,10,0,0
1,148,10,0,0
1,149,10,0,0
1,150,10,0,0
1,151,10,0,0
1,152,10,0,0
1,153,10,0,0
1,154,10,0,0
1,155,10,0,0
1,156,10,0,0
1,157,10,0,0
1,158,10,0,0
1,159,10,0,0
1,160,10,0,0
1,161,10,0,0
1,162,10,0,0
1,163,10,0,0
1,164,10,0,0
1,165,10,0,0
1,166,10,0,0
1,167,10,0,0
1,168,10,0,0
1,169,10,0,0
1,170,10,0,0
1,171,10,0,0
1,172,10,0,0
1,173,10,0,0
1,174,10,0,0
1,175,10,0,0
1,176,10,0,0
1,177,10,0,0
1,178,10,0,0
1,179,10,0,0
1,180,10,0,0
1,181,10,0,0
1,182,10,0,0
1,183,10,0,0
1,184,10,0,0
1,185,10,0,0
1,186,10,0,0
1,187,10,0,0
1,188,10,0,0
1,189,10,0,0
1,190,10,0,0
1,191,10,0,0
1,192,10,0,0
1,193,10,0,0
1,194,10,0,0
1,195,10,0,0
1,196,10,0,0
1,197,10,0,0
1,198,10,0,0
1,199,10,0,0
1,200,10,0,0
2,1,10,1,1
2,2,10,1,1
2,3,10,1,1
2,4,10,1,1
2,5,10,1,1
2,6,10,1,1
2,7,10,1,1
2,8,10,0,0
2,9,10,1,1
2,10,10,1,1
2,11,10,1,1
2,12,10,1,1
2,13,10,0,0
2,14,10,1,1
2,15,10,1,1
2,16,10,1,1
2,17,10,1,1
2,18,10,1,1
2,19,10,1,1
2,20,10,1,1
2,21,10,1,1
2,22,10,0,0
2,23,10,1,1
2,24,10,1,1
2,25,10,1,1
2,26,10,1,1
2,27,10,1,1
2,28,10,1,1
2,29,10,1,1
2,30,10,1,1
2,31,10,0,0
2,32,10,1,1
2,33,10,0,0
2,34,10,0,0
2,35,10,1,1
2,36,10,1,1
2,37,10,1,1
2,38,10,1,1
2,39,10,1,1
2,40,10,1,1
2,41,10,1,1
2,42,10,1,1
2,43,10,1,1
2,44,10,1,1
2,45,10,1,1
2,46,10,0,0
2,47,10,1,1
2,48,10,1,1
2,49,10,1,1
2,50,10,1,1
2,51,10,1,1
2,52,10,1,1
2,53,10,1,1
2,54,10,1,1
2,55,10,1,1
2,56,10,1,1
2,57,10,1,1
2,58,10,1,1
2,59,10,1,1
2,60,10,1,1
2,61,10,1,1
2,62,10,1,1
2,63,10,1,1
2,64,10,1,1
2,65,10,1,1
2,66,10,1,1
2,67,10,1,1
2,68,10,1,1
2,69,10,1,1
2,70,10,1,1
2,71,10,1,1
2,72,10,1,1
2,73,10,1,1
2,74,10,1,1
2,75,10,1,1
2,76,10,1,1
2,77,10,1,1
2,78,10,1,1
2,79,10,1,1
2,80,10,1,1
2,81,10,1,1
2,82,10,0,0
2,83,10,1,1
2,84,10,1,1
2,85,10,0,0
2,86,10,1,1
2,87,10,1,1
2,88,10,1,1
2,89,10,1,1
2,90,10,1,1
2,91,10,1,1
2,92,10,1,1
2,93,10,0,0
2,94,10,1,1
2,95,10,1,1
2,96,10,1,1
2,97,10,1,1
2,98,10,1,1
2,99,10,1,1
2,100,10,1,1
2,101,10,1,1
2,102,10,1,1
2,103,10,0,0
2,104,10,1,1
2,105,10,1,1
2,106,10,1,1
2,107,10,1,1
2,108,10,0,0
2,109,10,1,1
2,110,10,0,0
2,111,10,1,1
2,112,10,1,1
2,113,10,1,1
2,114,10,0,0
2,115,10,1,1
2,116,10,1,1
2,117,10,1,1
2,118,10,1,1
2,119,10,1,1
2,120,10,1,1
2,121,10,1,1
2,122,10,1,1
2,123,10,1,1
2,124,10,0,0
2,125,10,1,1
2,126,10,1,1
2,127,10,0,0
2,128,10,0,0
2,129,10,1,1
2,130,10,1,1
2,131,10,1,1
2,132,10,1,1
2,133,10,1,1
2,134,10,1,1
2,135,10,1,1
2,136,10,1,1
2,137,10,1,1
2,138,10,1,1
2,139,10,1,1
2,140,10,1,1
2,141,10,0,0
2,142,10,1,1
2,143,10,1,1
2,144,10,1,1
2,145,10,1,1
2,146,10,1,1
2,147,10,1,1
2,148,10,1,1
2,149,10,1,1
2,150,10,1,1
2,151,10,0,0
2,152,10,1,1
2,153,10,1,1
