Step,AgentID,Wealth,Steps_not_given
1,1,1,0
1,2,1,0
1,3,1,0
1,4,1,0
1,5,1,0
1,6,1,0
1,7,1,0
1,8,1,0
1,9,1,0
1,10,1,0
1,11,1,0
1,12,1,0
1,13,1,0
1,14,1,0
1,15,1,0
1,16,1,0
1,17,1,0
1,18,1,0
1,19,1,0
1,20,1,0
1,21,1,0
1,22,1,0
1,23,1,0
1,24,1,0
1,25,1,0
1,26,1,0
1,27,1,0
1,28,1,0
1,29,1,0
1,30,1,0
1,31,1,0
1,32,1,0
1,33,1,0
1,34,1,0
1,35,1,0
1,36,1,0
1,37,1,0
1,38,1,0
1,39,1,0
1,40,1,0
1,41,1,0
1,42,1,0
1,43,1,0
1,44,1,0
1,45,1,0
1,46,1,0
1,47,1,0
1,48,1,0
1,49,1,0
1,50,1,0
1,51,1,0
1,52,1,0
1,53,1,0
1,54,1,0
1,55,1,0
1,56,1,0
1,57,1,0
1,58,1,0
1,59,1,0
1,60,1,0
1,61,1,0
1,62,1,0
1,63,1,0
1,64,1,0
1,65,1,0
1,66,1,0
1,67,1,0
1,68,1,0
1,69,1,0
1,70,1,0
1,71,1,0
1,72,1,0
1,73,1,0
1,74,1,0
1,75,1,0
1,76,1,0
1,77,1,0
1,78,1,0
1,79,1,0
1,80,1,0
1,81,1,0
1,82,1,0
1,83,1,0
1,84,1,0
1,85,1,0
1,86,1,0
1,87,1,0
1,88,1,0
1,89,1,0
1,90,1,0
1,91,1,0
1,92,1,0
1,93,1,0
1,94,1,0
1,95,1,0
1,96,1,0
1,97,1,0
1,98,1,0
1,99,1,0
1,100,1,0
2,1,1,1
2,2,2,1
2,3,1,1
2,4,1,1
2,5,1,1
2,6,1,1
2,7,1,1
2,8,1,1
2,9,1,1
2,10,1,1
2,11,1,1
2,12,1,1
2,13,1,1
2,14,1,1
2,15,1,1
2,16,1,1
2,17,1,1
2,18,0,0
2,19,1,1
2,20,1,1
2,21,1,1
2,22,1,1
2,23,1,1
2,24,1,1
2,25,1,1
2,26,1,1
2,27,1,1
2,28,1,1
2,29,1,1
2,30,1,1
2,31,1,1
2,32,1,1
2,33,1,1
2,34,1,1
2,35,1,1
2,36,1,1
2,37,1,1
2,38,1,1
2,39,1,0
2,40,1,0
2,41,1,0
2,42,1,1
2,43,1,1
2,44,1,1
2,45,1,1
2,46,1,1
2,47,1,1
2,48,1,1
2,49,1,1
2,50,1,1
2,51,1,1
2,52,1,0
2,53,1,1
2,54,1,1
2,55,1,1
2,56,1,0
2,57,1,1
2,58,1,1
2,59,1,1
2,60,1,1
2,61,1,1
2,62,1,1
2,63,2,1
2,64,1,1
2,65,0,0
2,66,1,1
2,67,1,1
2,68,2,1
2,69,1,1
2,70,0,0
2,71,1,1
2,72,1,1
2,73,1,1
2,74,1,1
2,75,1,1
2,76,1,1
2,77,2,1
2,78,1,1
2,79,1,1
2,80,1,1
2,81,0,0
2,82,2,1
2,83,1,1
2,84,1,1
2,85,1,1
2,86,1,1
2,87,0,0
2,88,1,1
2,89,1,1
2,90,1,0
2,91,1,1
2,92,1,1
2,93,1,1
2,94,1,1
2,95,1,1
2,96,1,0
2,97,1,1
2,98,1,1
2,99,1,1
2,100,1,1
3,1,1,2
3,2,2,2
3,3,0,0
3,4,1,2
3,5,1,2
3,6,1,2
3,7,1,2
3,8,1,2
3,9,1,2
3,10,1,0
3,11,1,2
3,12,1,2
3,13,1,2
3,14,1,2
3,15,1,2
3,16,1,2
3,17,1,2
3,18,0,1
3,19,1,2
3,20,1,2
3,21,1,2
3,22,1,2
3,23,1,2
3,24,1,2
3,25,1,2
3,26,1,2
3,27,1,2
3,28,1,2
3,29,1,0
3,30,2,2
3,31,0,0
3,32,2,2
3,33,1,2
3,34,1,2
3,35,1,2
3,36,0,0
3,37,0,0
3,38,1,2
3,39,1,1
3,40,1,1
3,41,1,1
3,42,1,2
3,43,1,2
3,44,1,2
3,45,1,2
3,46,1,2
3,47,1,2
3,48,1,2
3,49,1,2
3,50,1,2
3,51,1,2
3,52,1,1
3,53,1,2
3,54,1,2
3,55,1,2
3,56,1,1
3,57,1,2
3,58,1,2
3,59,1,2
3,60,1,2
3,61,1,2
3,62,1,2
3,63,2,2
3,64,1,2
3,65,0,1
3,66,1,2
3,67,2,2
3,68,2,2
3,69,1,2
3,70,0,1
3,71,1,0
3,72,1,2
3,73,1,2
3,74,1,0
3,75,2,2
3,76,1,2
3,77,2,2
3,78,1,2
3,79,1,2
3,80,1,2
3,81,0,1
3,82,2,2
3,83,1,2
3,84,1,2
3,85,1,2
3,86,1,2
3,87,0,1
3,88,1,2
3,89,0,0
3,90,1,1
3,91,1,2
3,92,1,2
3,93,2,2
3,94,1,2
3,95,1,2
3,96,1,1
3,97,1,0
3,98,1,2
3,99,1,0
3,100,1,2
4,1,1,3
4,2,2,3
4,3,0,1
4,4,1,3
4,5,1,3
4,6,2,3
4,7,1,3
4,8,1,3
4,9,1,3
4,10,1,1
4,11,1,3
4,12,1,3
4,13,1,3
4,14,1,3
4,15,1,3
4,16,1,3
4,17,1,3
4,18,0,2
4,19,1,3
4,20,1,3
4,21,1,3
4,22,1,3
4,23,1,3
4,24,1,3
4,25,1,3
4,26,1,3
4,27,1,3
4,28,1,3
4,29,1,1
4,30,2,3
4,31,0,1
4,32,2,3
4,33,1,3
4,34,1,3
4,35,1,3
4,36,0,1
4,37,0,1
4,38,1,3
4,39,1,2
4,40,1,2
4,41,0,0
4,42,1,3
4,43,1,3
4,44,1,3
4,45,1,3
4,46,1,3
4,47,1,3
4,48,1,3
4,49,1,3
4,50,1,3
4,51,1,3
4,52,1,2
4,53,1,3
4,54,1,3
4,55,1,3
4,56,1,2
4,57,1,3
4,58,1,3
4,59,1,3
4,60,1,3
4,61,1,3
4,62,1,3
4,63,2,3
4,64,1,3
4,65,0,2
4,66,1,3
4,67,2,3
4,68,2,3
4,69,1,3
4,70,0,2
4,71,1,1
4,72,0,0
4,73,1,3
4,74,1,1
4,75,2,3
4,76,1,3
4,77,2,3
4,78,1,3
4,79,1,3
4,80,1,3
4,81,0,2
4,82,2,3
4,83,1,3
4,84,1,3
4,85,1,3
4,86,1,3
4,87,1,2
4,88,1,3
4,89,0,1
4,90,1,2
4,91,0,0
4,92,1,3
4,93,3,3
4,94,1,3
4,95,1,3
4,96,1,2
4,97,1,1
4,98,1,3
4,99,1,1
4,100,1,3
5,1,1,4
5,2,2,4
5,3,0,2
5,4,1,4
5,5,1,4
5,6,2,4
5,7,1,4
5,8,1,4
5,9,1,4
5,10,1,2
5,11,1,4
5,12,1,4
5,13,1,4
5,14,1,4
5,15,0,0
5,16,1,4
5,17,1,4
5,18,0,3
5,19,1,4
5,20,1,4
5,21,1,4
5,22,1,4
5,23,2,4
5,24,1,4
5,25,1,4
5,26,2,4
5,27,1,4
5,28,1,4
5,29,1,0
5,30,2,4
5,31,0,2
5,32,2,4
5,33,1,4
5,34,1,4
5,35,1,4
5,36,0,2
5,37,0,2
5,38,1,4
5,39,1,3
5,40,1,3
5,41,0,1
5,42,1,4
5,43,1,4
5,44,1,4
5,45,2,4
5,46,0,0
5,47,1,4
5,48,1,4
5,49,1,4
5,50,1,4
5,51,1,4
5,52,1,3
5,53,1,4
5,54,1,4
5,55,1,4
5,56,1,3
5,57,1,4
5,58,1,4
5,59,1,4
5,60,1,4
5,61,1,4
5,62,1,4
5,63,2,4
5,64,1,4
5,65,0,3
5,66,1,4
5,67,2,4
5,68,2,4
5,69,1,4
5,70,0,3
5,71,1,2
5,72,0,1
5,73,0,0
5,74,1,0
5,75,2,4
5,76,1,4
5,77,3,4
5,78,1,4
5,79,1,4
5,80,1,4
5,81,0,3
5,82,2,4
5,83,1,4
5,84,1,4
5,85,1,4
5,86,1,4
5,87,1,3
5,88,1,4
5,89,0,2
5,90,1,3
5,91,0,1
5,92,1,4
5,93,3,4
5,94,1,4
5,95,1,4
5,96,1,3
5,97,1,2
5,98,1,4
5,99,0,0
5,100,1,4
6,1,1,5
6,2,3,5
6,3,0,3
6,4,1,5
6,5,1,5
6,6,2,5
6,7,1,5
6,8,1,5
6,9,1,5
6,10,1,3
6,11,1,5
6,12,1,5
6,13,1,5
6,14,1,5
6,15,0,1
6,16,0,0
6,17,1,5
6,18,0,4
6,19,1,0
6,20,1,5
6,21,1,5
6,22,1,5
